feature,importance
discount_avg_pct,0.5100440979003906
day_of_week,0.12208449095487595
temp_avg,0.047828786075115204
rolling_mean_7,0.0431632325053215
days_since_holiday,0.031779397279024124
rolling_std_7,0.031764715909957886
demand_acceleration,0.02568369172513485
is_medium_discount_day,0.025323329493403435
cv_7day,0.024350985884666443
discount_penetration,0.023706622421741486
lag_14,0.019383134320378304
day_of_month,0.016788160428404808
lag_7,0.015100919641554356
demand_trend,0.014223737642168999
lag_1,0.013776007108390331
days_to_month_end,0.007973181083798409
month,0.007642386946827173
rolling_mean_14,0.006859662011265755
is_high_discount_day,0.006324813235551119
is_friday,0.003254063194617629
days_to_year_end,0.0014929940225556493
days_since_major_festival,0.0007824056665413082
is_payday_week,0.0005501901032403111
precipitation_mm,0.00011905246356036514
post_holiday_recovery_3d,0.0
is_post_holiday_weekend,0.0
month_end_weekend,0.0
first_friday,0.0
weekend_payday_combo,0.0
is_year_end_week,0.0
salary_week_boost,0.0
post_holiday_recovery_7d,0.0
is_festival_season,0.0
weekend_rain_combo,0.0
late_dinner_pattern,0.0
family_weekend_boost,0.0
is_weekend_discount,0.0
is_month_end_week,0.0
is_first_week,0.0
extreme_temp_delivery,0.0
rain_delivery_boost,0.0
weekend_proximity,0.0
is_weekend_evening,0.0
is_dinner_delivery_day,0.0
has_any_discount,0.0
is_extreme_temp,0.0
is_heavy_rain,0.0
is_rainy,0.0
is_weekend,0.0
is_christmas_ny_transition,0.0
